instant,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded,temp_hum_interaction,casual_registered_ratio,high_temp,user_experience_score,avg_rentals
1.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,35392,3,4,7,4,1,0,0,0.19440000000000002,0.21428571428571427,0,7,189.6654621750787
2.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,95061,5,3,94,4,0,0,1,0.17600000000000002,0.24242424242424243,0,8,189.6654621750787
3.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,44319,1,6,62,3,2,0,0,0.17600000000000002,0.17857142857142858,0,7,189.6654621750787
4.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,20366,5,6,83,8,1,0,1,0.18,0.2727272727272727,0,11,189.6654621750787
5.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,29216,4,4,64,1,2,0,0,0.18,0.0,0,8,189.6654621750787
6.0,0.0,1.0,6.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,37027,2,7,66,9,1,1,1,0.18,0.0,0,9,189.21590643274854
7.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,46944,4,1,45,3,0,0,1,0.17600000000000002,2.0,0,5,189.6654621750787
8.0,0.0,1.0,6.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,91501,5,2,60,4,1,1,1,0.17200000000000001,0.3333333333333333,0,7,189.21590643274854
9.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,96497,5,1,11,2,1,1,0,0.18,0.125,0,6,189.21590643274854
10.0,0.0,1.0,6.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,91845,5,6,46,3,1,1,0,0.2432,1.1428571428571428,0,11,189.21590643274854
11.0,0.0,1.0,6.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,81346,4,4,9,10,1,0,1,0.2888,0.48,0,8,189.6654621750787
12.0,0.0,1.0,6.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,78522,4,4,95,9,0,1,0,0.2916,0.8387096774193549,0,8,189.21590643274854
13.0,0.0,1.0,,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,72185,2,9,15,7,1,1,0,0.3234,0.5178571428571429,0,11,189.21590643274854
14.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,86079,1,9,52,4,1,0,0,0.3312,0.9791666666666666,0,10,189.6654621750787
15.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,35849,3,3,72,5,2,1,1,0.3312,0.4861111111111111,0,6,189.21590643274854
16.0,0.0,1.0,6.0,2.0,0.44,0.4394,0.77,,40.0,70.0,110.0,41568,2,5,1,4,0,0,1,0.3388,0.5633802816901409,0,7,189.6654621750787
17.0,0.0,1.0,6.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,83583,4,8,45,4,1,0,1,0.3444,0.7735849056603774,0,12,189.6654621750787
18.0,,,6.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,27523,2,6,70,8,0,0,1,0.36079999999999995,0.2830188679245283,0,8,189.6654621750787
19.0,0.0,1.0,6.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,73945,1,4,62,1,1,0,0,0.3696,0.3333333333333333,0,5,189.6654621750787
20.0,0.0,1.0,6.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,41171,5,1,88,5,0,0,1,0.3696,0.1875,0,6,189.6654621750787
21.0,0.0,1.0,6.0,,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,46113,4,9,100,1,0,1,1,0.34800000000000003,0.4230769230769231,0,13,189.21590643274854
22.0,0.0,1.0,6.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,84301,2,6,26,6,2,0,1,0.34800000000000003,0.09375,0,8,189.6654621750787
23.0,0.0,1.0,6.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,50847,3,2,55,1,2,1,1,0.376,0.6111111111111112,0,5,189.21590643274854
24.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,29857,1,7,84,3,1,1,1,0.4048,0.6,0,8,189.21590643274854
25.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,56694,3,4,8,5,2,0,1,0.4048,0.2857142857142857,0,7,189.6654621750787
26.0,0.0,1.0,,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,81275,4,8,75,7,1,1,1,0.41359999999999997,0.058823529411764705,0,12,189.21590643274854
27.0,0.0,1.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,46683,5,5,16,8,2,0,1,0.42,0.1111111111111111,0,10,189.6654621750787
28.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,22523,4,8,64,1,0,1,1,0.4324,0.4,0,12,189.21590643274854
29.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,24242,2,7,83,6,0,0,0,0.4324,1.0,0,9,189.6654621750787
30.0,0.0,1.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,81487,5,4,28,5,0,0,0,0.3234,0.0,0,9,189.6654621750787
31.0,0.0,1.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,31596,3,8,42,1,0,0,0,0.30400000000000005,0.0,0,11,189.6654621750787
