instant,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
1.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,78311,4,3,73,10,1,1,1
2.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,91032,3,3,16,6,1,0,1
3.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,73185,2,9,79,10,0,0,0
4.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,79734,5,3,91,4,0,1,0
5.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,83377,1,6,15,3,1,0,1
6.0,0.0,1.0,6.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,43534,2,8,9,4,1,0,0
7.0,0.0,1.0,6.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,41053,2,8,59,8,2,0,1
8.0,0.0,1.0,6.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,73522,3,10,51,6,2,1,0
9.0,0.0,1.0,6.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,48482,3,3,73,3,0,0,1
10.0,0.0,1.0,6.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,57407,3,8,29,9,2,1,0
11.0,0.0,1.0,6.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,48650,1,2,84,3,2,0,1
12.0,0.0,1.0,6.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,64469,3,7,25,9,0,0,0
13.0,0.0,1.0,,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,67347,2,8,80,10,2,0,1
14.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,61667,2,10,66,4,0,0,0
15.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,27060,4,9,71,10,1,0,1
16.0,0.0,1.0,6.0,2.0,0.44,0.4394,0.77,,40.0,70.0,110.0,65316,5,4,38,4,2,1,1
17.0,0.0,1.0,6.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,32855,4,10,95,8,1,0,0
18.0,,,6.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,31037,1,7,20,6,2,0,0
19.0,0.0,1.0,6.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,84710,2,1,42,2,2,1,0
20.0,0.0,1.0,6.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,43597,5,1,32,2,0,0,0
21.0,0.0,1.0,6.0,,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,75857,1,5,18,2,0,1,0
22.0,0.0,1.0,6.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,70745,4,3,13,5,0,1,1
23.0,0.0,1.0,6.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,70561,3,3,62,5,2,0,1
24.0,0.0,1.0,6.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,40569,1,8,72,6,1,0,1
25.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,56824,2,9,19,7,2,1,1
26.0,0.0,1.0,,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,80425,2,2,100,5,0,0,0
27.0,0.0,1.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,71329,4,7,37,1,0,0,0
28.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,75025,2,10,36,8,0,1,1
29.0,0.0,1.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,72433,5,5,61,3,0,1,0
30.0,0.0,1.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,44832,2,4,32,4,1,0,1
31.0,0.0,1.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,74043,5,5,46,2,0,0,1
32.0,0.0,1.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,68813,5,4,73,1,1,1,0
33.0,0.0,1.0,0.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,44379,5,5,16,4,0,1,0
34.0,0.0,1.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,86611,2,3,43,8,0,1,0
35.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,69172,2,8,86,9,2,1,0
36.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,94626,2,3,94,8,1,0,0
37.0,0.0,1.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,69422,1,8,72,4,0,1,0
38.0,0.0,1.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,84002,2,6,69,3,0,1,0
39.0,0.0,1.0,0.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,63239,5,7,77,5,2,1,1
40.0,0.0,1.0,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,62038,1,10,83,3,1,0,0
