instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,user_activity_level,user_type,income_level,zone_type,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
1.0,1.0,0.2244897959183673,0.2879,0.81,0.0,3.0,13.0,16.0,moyen,occasionnel,64323,residentiel,2,4,72,6,1,1,1
2.0,1.0,0.2040816326530612,0.2727,0.8,0.0,8.0,32.0,40.0,faible,occasionnel,90549,commercial,5,5,83,1,0,1,0
3.0,1.0,0.2040816326530612,0.2727,0.8,0.0,5.0,27.0,32.0,faible,occasionnel,94862,residentiel,3,4,27,1,0,1,1
4.0,1.0,0.2244897959183673,0.2879,0.75,0.0,3.0,10.0,13.0,élevé,occasionnel,91347,commercial,1,8,39,10,2,1,0
5.0,1.0,0.2244897959183673,0.2879,0.75,0.0,0.0,1.0,1.0,moyen,frequent,57902,residentiel,4,1,78,6,1,0,1
6.0,2.0,0.2244897959183673,0.2576,0.75,0.1053250264488068,0.0,1.0,1.0,moyen,frequent,92898,commercial,3,5,63,1,1,0,0
7.0,1.0,0.2040816326530612,0.2727,0.8,0.0,2.0,0.0,2.0,faible,occasionnel,78203,residentiel,1,8,23,7,0,1,1
8.0,1.0,0.1836734693877551,0.2576,0.86,0.0,1.0,2.0,3.0,élevé,occasionnel,26951,residentiel,4,7,94,6,2,1,1
9.0,1.0,0.2244897959183673,0.2879,0.75,0.0,1.0,7.0,8.0,moyen,frequent,30989,residentiel,2,6,88,9,1,0,1
10.0,1.0,0.3061224489795918,0.3485,0.76,0.0,8.0,6.0,14.0,faible,frequent,35763,residentiel,4,1,72,1,0,0,1
11.0,1.0,0.3673469387755101,0.3939,0.76,0.298224991183731,12.0,24.0,36.0,moyen,frequent,66645,residentiel,5,3,49,1,1,0,1
12.0,1.0,0.3469387755102041,0.3333,0.81,0.333372516750911,26.0,30.0,56.0,moyen,frequent,71754,commercial,5,5,88,5,1,0,0
13.0,1.0,0.4081632653061224,0.4242,0.77,0.333372516750911,29.0,55.0,84.0,faible,occasionnel,59071,residentiel,2,2,10,5,0,1,1
14.0,2.0,0.4489795918367347,0.4545,0.72,0.3508875044081345,47.0,47.0,94.0,élevé,frequent,63281,commercial,1,3,86,10,2,0,0
15.0,2.0,0.4489795918367347,0.4545,0.72,0.333372516750911,35.0,71.0,106.0,moyen,frequent,85947,commercial,4,10,3,5,1,0,0
16.0,2.0,0.4285714285714285,0.4394,0.77,0.333372516750911,40.0,70.0,110.0,faible,occasionnel,87068,residentiel,1,3,5,9,0,1,1
17.0,2.0,0.4081632653061224,0.4242,0.82,0.3508875044081345,41.0,52.0,93.0,moyen,occasionnel,27993,commercial,2,2,49,10,1,1,0
18.0,2.0,0.4285714285714285,0.4394,0.82,0.333372516750911,15.0,52.0,67.0,faible,occasionnel,55892,residentiel,1,5,69,8,0,1,1
19.0,3.0,0.4081632653061224,0.4242,0.88,0.298224991183731,9.0,26.0,35.0,faible,frequent,71315,residentiel,2,9,10,3,0,0,1
20.0,3.0,0.4081632653061224,0.4242,0.88,0.298224991183731,6.0,31.0,37.0,moyen,frequent,71567,residentiel,2,1,66,1,1,0,1
21.0,3.0,0.3877551020408163,0.4091,0.87,0.298224991183731,11.0,25.0,36.0,moyen,occasionnel,86417,commercial,4,7,65,7,1,1,0
22.0,2.0,0.3877551020408163,0.4091,0.87,0.2280474903021041,3.0,31.0,34.0,élevé,occasionnel,30513,residentiel,1,3,21,9,2,1,1
23.0,2.0,0.3877551020408163,0.4091,0.94,0.2631950158692841,11.0,17.0,28.0,faible,frequent,45682,residentiel,3,1,18,1,0,0,1
24.0,2.0,0.4489795918367347,0.4545,0.88,0.3508875044081345,15.0,24.0,39.0,élevé,occasionnel,33008,commercial,5,5,66,3,2,1,0
25.0,2.0,0.4489795918367347,0.4545,0.88,0.3508875044081345,4.0,13.0,17.0,moyen,occasionnel,98637,commercial,2,3,38,10,1,1,0
26.0,2.0,0.4285714285714285,0.4394,0.94,0.298224991183731,1.0,16.0,17.0,faible,frequent,20437,residentiel,1,6,73,7,0,0,1
27.0,2.0,0.4081632653061224,0.4242,1.0,0.333372516750911,1.0,8.0,9.0,élevé,occasionnel,29000,residentiel,5,4,46,2,2,1,1
28.0,2.0,0.4489795918367347,0.4545,0.94,0.2280474903021041,2.0,4.0,6.0,moyen,occasionnel,64302,commercial,5,7,52,2,1,1,0
29.0,2.0,0.4489795918367347,0.4545,0.94,0.2280474903021041,2.0,1.0,3.0,faible,occasionnel,75989,residentiel,5,7,16,10,0,1,1
30.0,3.0,0.4081632653061224,0.4242,0.77,0.3508875044081345,0.0,2.0,2.0,moyen,frequent,54477,residentiel,2,3,15,5,1,0,1
31.0,2.0,0.3877551020408163,0.4091,0.76,0.2280474903021041,0.0,1.0,1.0,faible,occasionnel,88855,commercial,2,7,96,8,0,1,0
32.0,3.0,0.3877551020408163,0.4091,0.71,0.2631950158692841,0.0,8.0,8.0,faible,occasionnel,39495,residentiel,4,1,56,5,0,1,1
33.0,2.0,0.3673469387755101,0.3939,0.76,0.2631950158692841,1.0,19.0,20.0,faible,occasionnel,71376,commercial,4,2,30,4,0,1,0
34.0,2.0,0.3469387755102041,0.3485,0.81,0.2631950158692841,7.0,46.0,53.0,élevé,frequent,57802,residentiel,4,6,7,4,2,0,1
35.0,2.0,0.3469387755102041,0.3333,0.71,0.298224991183731,16.0,54.0,70.0,faible,occasionnel,22593,commercial,4,5,52,7,0,1,0
36.0,2.0,0.3469387755102041,0.3333,0.66,0.3508875044081345,20.0,73.0,93.0,moyen,occasionnel,60790,residentiel,3,3,38,8,1,1,1
37.0,2.0,0.3469387755102041,0.3485,0.66,0.1578699894204772,11.0,64.0,75.0,élevé,occasionnel,78529,commercial,2,8,31,1,2,1,0
38.0,3.0,0.3469387755102041,0.3485,0.76,0.2280474903021041,4.0,55.0,59.0,faible,occasionnel,41111,residentiel,1,5,39,10,0,1,1
39.0,3.0,0.326530612244898,0.3333,0.81,0.1930175149876572,19.0,55.0,74.0,élevé,occasionnel,87343,residentiel,5,8,11,1,2,1,1
40.0,3.0,0.326530612244898,0.3333,0.71,0.1930175149876572,9.0,67.0,76.0,faible,frequent,92849,commercial,3,2,75,10,0,0,0
41.0,1.0,0.326530612244898,0.3333,0.57,0.2280474903021041,7.0,58.0,65.0,élevé,frequent,49244,commercial,5,9,60,4,2,0,0
42.0,2.0,0.3469387755102041,0.3333,0.46,0.3860350299753144,10.0,43.0,53.0,moyen,frequent,39846,residentiel,1,5,89,2,1,0,1
43.0,1.0,0.3061224489795918,0.2879,0.42,0.5263900317385682,1.0,29.0,30.0,élevé,occasionnel,67005,residentiel,5,6,37,3,2,1,1
44.0,1.0,0.2857142857142857,0.2727,0.39,0.4210650052897614,5.0,17.0,22.0,élevé,occasionnel,76093,residentiel,1,9,73,4,2,1,1
45.0,1.0,0.2448979591836735,0.2273,0.44,0.3860350299753144,11.0,20.0,31.0,faible,frequent,86177,residentiel,2,10,29,2,0,0,1
46.0,1.0,0.2244897959183673,0.2121,0.44,0.3508875044081345,0.0,9.0,9.0,faible,occasionnel,83332,residentiel,4,1,57,2,0,1,1
47.0,1.0,0.2040816326530612,0.2273,0.47,0.1930175149876572,0.0,8.0,8.0,moyen,frequent,77333,commercial,1,1,14,10,1,0,0
48.0,1.0,0.2040816326530612,0.197,0.44,0.4210650052897614,0.0,5.0,8.0,faible,frequent,58300,residentiel,1,7,66,3,0,0,1
49.0,1.0,0.1836734693877551,0.1667,0.44,0.4912425061713882,0.0,2.0,2.0,moyen,frequent,89894,commercial,1,4,45,1,1,0,0
50.0,1.0,0.1428571428571428,0.1364,0.47,0.4562125308569413,0.0,1.0,1.0,élevé,frequent,43463,residentiel,1,10,24,2,2,0,1
51.0,1.0,0.1428571428571428,0.1364,0.47,0.4562125308569413,0.0,3.0,3.0,élevé,frequent,40387,residentiel,3,7,91,9,2,0,1
